protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cpf_cnpj_proponente;valor_proposta;situacao_proposta
Doc. 08862/19;00003/2019;Tomada de Precos;201211;36.763.160,00;2019;306446170001-00;41.392.707,00;Vencedora
Doc. 08862/20;10001/2020;Pregao Presencial;601053;3.179.600,00;2020;289238900001-22;8.474.020,00;Vencedora
Doc. 08863/19;00011/2019;Pregao Presencial;201012;36.763.160,00;2019;228688210001-87;5.880.000,00;Vencedora
Doc. 08863/20;00002/2020;Pregao Presencial;201052;1.080.000,00;2020;78760340001-93;6.390.254,00;Vencedora
Doc. 08863/20;00002/2020;Pregao Presencial;201052;918.855,00;2020;174746400001-36;19.813.546,00;Vencedora
Doc. 08863/20;00002/2020;Pregao Presencial;201052;16.960.000,00;2020;283025340001-91;402.226,00;Vencedora
Doc. 08864/20;00008/2020;Pregao Presencial;201042;1.683.000,00;2020;21658650001-33;5.951.000,00;Vencedora
Doc. 08864/20;00008/2020;Pregao Presencial;201042;1.683.000,00;2020;86747520001-40;8.174.780,00;Vencedora
Doc. 08864/20;00008/2020;Pregao Presencial;201042;1.683.000,00;2020;152185610001-39;2.344.100,00;Vencedora
Doc. 08864/20;00008/2020;Pregao Presencial;201042;918.855,00;2020;279856640001-03;11.731.920,00;Vencedora
Doc. 08864/20;00008/2020;Pregao Presencial;201042;918.855,00;2020;634788950001-94;1.924.400,00;Vencedora
Doc. 08865/20;00009/2020;Pregao Presencial;201042;152.782.800,00;2020;21658650001-33;6.555.500,00;Vencedora
Doc. 08865/20;00009/2020;Pregao Presencial;201042;86.140.347,00;2020;86747520001-40;3.353.200,00;Vencedora
Doc. 08865/20;00009/2020;Pregao Presencial;201042;1.480.000,00;2020;92516270001-90;285.000,00;Vencedora
Doc. 08865/20;00009/2020;Pregao Presencial;201042;6.000.000,00;2020;279856640001-03;16.919.225,00;Vencedora
Doc. 08866/20;00011/2020;Pregao Presencial;201042;6.000.000,00;2020;94770080001-18;39.989.000,00;Vencedora
Doc. 08867/20;00005/2020;Pregao Presencial;602168;18.600.000,00;2020;40646410001-60;22.709.800,00;Vencedora
Doc. 08874/21;10001/2021;Pregao Presencial;601098;19.138.470,00;2021;188292390001-34;27.000.000,00;Perdedora
Doc. 08874/21;10001/2021;Pregao Presencial;601098;19.138.470,00;2021;234471490001-19;27.000.000,00;Vencedora
Doc. 08879/20;00008/2020;Pregao Presencial;201047;7.879.009,00;2020;33953960001-01;29.237.050,00;Vencedora
Doc. 08881/21;00006/2021;Pregao Presencial;201109;11.293.342,00;2021;231432810001-37;4.125.000,00;Perdedora
Doc. 08881/21;00006/2021;Pregao Presencial;201109;11.293.342,00;2021;286767120001-44;4.000.000,00;Vencedora
Doc. 08882/20;00005/2020;Pregao Presencial;601047;6.782.805,00;2020;17673950001-15;8.486.300,00;Vencedora
Doc. 08882/20;00005/2020;Pregao Presencial;601047;6.782.805,00;2020;71989180001-36;4.033.500,00;Vencedora
Doc. 08882/20;00005/2020;Pregao Presencial;601047;6.782.805,00;2020;94427540001-76;9.799.400,00;Vencedora
Doc. 08882/20;00005/2020;Pregao Presencial;601047;6.782.805,00;2020;174560870002-90;14.634.500,00;Vencedora
Doc. 08896/19;00001/2019;Tomada de Precos;201048;36.763.160,00;2019;285619170001-84;22.940.729,00;Vencedora
Doc. 08896/20;00010/2020;Pregao Presencial;201223;6.782.805,00;2020;346974080001-86;33.367.440,00;Vencedora
Doc. 08897/20;00011/2020;Pregao Presencial;201223;1.800.000,00;2020;245137070001-60;6.650.000,00;Vencedora
Doc. 08898/20;00012/2020;Pregao Presencial;201223;4.200.000,00;2020;81602900001-42;15.297.740,00;Vencedora
Doc. 08898/20;00012/2020;Pregao Presencial;201223;3.000.000,00;2020;297753130001-01;2.233.250,00;Vencedora
Doc. 08899/20;00013/2020;Pregao Presencial;201223;3.000.000,00;2020;81602900001-42;11.998.754,00;Vencedora
Doc. 08899/20;00013/2020;Pregao Presencial;201223;22.380.000,00;2020;172274850001-53;1.790.000,00;Vencedora
Doc. 08899/20;00013/2020;Pregao Presencial;201223;41.430.000,00;2020;297753130001-01;1.244.076,00;Vencedora
Doc. 08900/20;00014/2020;Pregao Presencial;201223;41.430.000,00;2020;81602900001-42;7.751.050,00;Vencedora
Doc. 08903/20;00014/2020;Pregao Presencial;201078;9.220.950,00;2020;29773620001-62;25.680.600,00;Vencedora
Doc. 08903/20;00014/2020;Pregao Presencial;201078;10.620.000,00;2020;44516260001-75;31.622.100,00;Perdedora
Doc. 08903/20;00014/2020;Pregao Presencial;201078;10.400.000,00;2020;86747520001-40;26.367.875,00;Vencedora
Doc. 08903/20;00014/2020;Pregao Presencial;201078;10.400.000,00;2020;87782010001-26;8.387.500,00;Vencedora
Doc. 08903/20;00014/2020;Pregao Presencial;201078;35.346.000,00;2020;123053870001-73;26.734.945,00;Vencedora
Doc. 08903/20;00014/2020;Pregao Presencial;201078;35.346.000,00;2020;152185610001-39;28.138.200,00;Vencedora
Doc. 08905/19;00006/2019;Pregao Presencial;201184;76.219.980,00;2019;172673330001-84;64.320.000,00;Vencedora
Doc. 08905/19;00006/2019;Pregao Presencial;201184;36.763.160,00;2019;298296300001-55;65.808.000,00;Perdedora
Doc. 08905/20;00011/2020;Pregao Presencial;201022;10.400.000,00;2020;324993870001-69;4.026.000,00;Vencedora
Doc. 08907/19;00005/2019;Pregao Presencial;201184;76.219.980,00;2019;106180830001-30;9.014.400,00;Vencedora
Doc. 08908/20;00013/2020;Pregao Presencial;201022;3.761.400,00;2020;213183840001-65;2.659.850,00;Vencedora
Doc. 08908/20;00013/2020;Pregao Presencial;201022;131.400.000,00;2020;213914280001-82;15.780.750,00;Vencedora
Doc. 08910/20;00002/2020;Pregao Presencial;201104;131.400.000,00;2020;89997160001-56;19.230.151,00;Vencedora
Doc. 08911/20;00010/2020;Pregao Presencial;201042;131.400.000,00;2020;58166840002-07;495.000,00;Vencedora
Doc. 08911/20;00010/2020;Pregao Presencial;201042;131.400.000,00;2020;87916590001-15;8.500.000,00;Vencedora
Doc. 08926/19;00001/2019;Tomada de Precos;201148;76.219.980,00;2019;189209240001-71;33.474.690,00;Perdedora
Doc. 08926/19;00001/2019;Tomada de Precos;201148;24.968.220,00;2019;250801660001-96;40.800.000,00;Perdedora
Doc. 08926/19;00001/2019;Tomada de Precos;201148;1.536.000,00;2019;265426550001-85;30.202.466,00;Vencedora
Doc. 08929/20;00009/2020;Pregao Presencial;201059;131.400.000,00;2020;113028000001-83;35.000.000,00;Vencedora
Doc. 08936/19;00005/2019;Pregao Presencial;201063;1.680.000,00;2019;10349970001-63;6.484.500,00;Vencedora
Doc. 08936/19;00005/2019;Pregao Presencial;201063;873.700.000,00;2019;58166840002-07;185.000,00;Vencedora
Doc. 08936/19;00005/2019;Pregao Presencial;201063;873.700.000,00;2019;84490960001-81;482.600,00;Vencedora
Doc. 08936/19;00005/2019;Pregao Presencial;201063;300.000,00;2019;94780230001-80;185.880,00;Vencedora
Doc. 08936/19;00005/2019;Pregao Presencial;201063;873.700.000,00;2019;189954570001-49;1.598.000,00;Vencedora
Doc. 08936/19;00005/2019;Pregao Presencial;201063;220.000,00;2019;209283630001-07;264.000,00;Vencedora
Doc. 08936/19;00005/2019;Pregao Presencial;201063;873.700.000,00;2019;210627770001-50;1.404.000,00;Vencedora
Doc. 08956/19;00006/2019;Pregao Presencial;201063;873.700.000,00;2019;22962640004-02;6.000.000,00;Vencedora
Doc. 08963/19;00002/2019;Tomada de Precos;201132;17.614.005,00;2019;33384400001-41;18.591.901,00;Vencedora
Doc. 08966/19;00006/2019;Pregao Presencial;201092;17.614.005,00;2019;81602900001-42;37.347.570,00;Vencedora
Doc. 08966/19;00006/2019;Pregao Presencial;201092;17.614.005,00;2019;87782010001-26;16.498.100,00;Vencedora
Doc. 08966/19;00006/2019;Pregao Presencial;201092;2.000.000,00;2019;152185610001-39;24.326.900,00;Vencedora
Doc. 08967/21;00001/2021;Inexigibilidade;601200;12.120.064,00;2021;209245960001-23;4.800.000,00;Vencedora
Doc. 08970/19;00007/2019;Pregao Presencial;201092;1.680.000,00;2019;81602900001-42;10.201.640,00;Vencedora
Doc. 08970/19;00007/2019;Pregao Presencial;201092;113.750.000,00;2019;87782010001-26;4.236.400,00;Vencedora
Doc. 08970/19;00007/2019;Pregao Presencial;201092;57.096.417,00;2019;152185610001-39;9.690.200,00;Vencedora
Doc. 08973/19;00008/2019;Pregao Presencial;201092;139.620.000,00;2019;81602900001-42;42.672.426,00;Vencedora
Doc. 08973/19;00008/2019;Pregao Presencial;201092;113.750.000,00;2019;87782010001-26;12.935.810,00;Vencedora
Doc. 08973/19;00008/2019;Pregao Presencial;201092;139.620.000,00;2019;92102190001-90;70.728.660,00;Vencedora
Doc. 08973/19;00008/2019;Pregao Presencial;201092;1.759.500,00;2019;123053870001-73;36.384.560,00;Vencedora
Doc. 08973/19;00008/2019;Pregao Presencial;201092;1.197.600,00;2019;152185610001-39;34.265.056,00;Vencedora
Doc. 08973/19;00008/2019;Pregao Presencial;201092;3.950.000,00;2019;224656400001-00;37.965.034,00;Vencedora
Doc. 08978/19;00009/2019;Pregao Presencial;201092;38.097.169,00;2019;81602900001-42;13.497.240,00;Vencedora
Doc. 08978/19;00009/2019;Pregao Presencial;201092;38.097.169,00;2019;87782010001-26;15.644.240,00;Vencedora
Doc. 08978/19;00009/2019;Pregao Presencial;201092;38.097.169,00;2019;123053870001-73;26.636.220,00;Vencedora
Doc. 08978/19;00009/2019;Pregao Presencial;201092;1.700.000,00;2019;152185610001-39;28.587.200,00;Vencedora
Doc. 08983/20;00005/2020;Pregao Presencial;201115;131.400.000,00;2020;7994210001-24;54.300.000,00;Vencedora
Doc. 08983/20;00005/2020;Pregao Presencial;201115;131.400.000,00;2020;262903550001-56;67.172.400,00;Perdedora
Doc. 08983/20;00005/2020;Pregao Presencial;201115;131.400.000,00;2020;358081600001-46;67.802.600,00;Vencedora
Doc. 08996/20;00010/2020;Pregao Presencial;201109;5.952.000,00;2020;125940370001-74;48.727.450,00;Vencedora
Doc. 09009/19;01009/2019;Pregao Presencial;201135;30.118.765,00;2019;103632350001-00;16.000.000,00;Perdedora
Doc. 09009/19;01009/2019;Pregao Presencial;201135;30.118.765,00;2019;199156920001-26;19.800.000,00;Perdedora
Doc. 09009/19;01009/2019;Pregao Presencial;201135;30.118.765,00;2019;211982820001-53;46.000.000,00;Vencedora
Doc. 09011/19;00004/2019;Pregao Presencial;201186;42.425.800,00;2019;132073260001-36;2.838.800,00;Vencedora
Doc. 09011/19;00004/2019;Pregao Presencial;201186;42.425.800,00;2019;145205870001-74;1.244.750,00;Vencedora
Doc. 09011/19;00004/2019;Pregao Presencial;201186;42.425.800,00;2019;174032990001-28;8.114.350,00;Vencedora
Doc. 09011/19;00004/2019;Pregao Presencial;201186;1.802.807,00;2019;266062450001-50;929.250,00;Vencedora
Doc. 09014/20;00008/2020;Pregao Presencial;201109;1.600.000,00;2020;701117520001-05;14.947.800,00;Vencedora
Doc. 09022/19;00007/2019;Pregao Presencial;201114;35.225.748,00;2019;87660320002-95;27.860.000,00;Vencedora
Doc. 09025/19;00008/2019;Pregao Presencial;201114;35.225.748,00;2019;87660320002-95;6.416.500,00;Vencedora
Doc. 09026/20;00006/2020;Pregao Presencial;201142;9.000.000,00;2020;234796040001-68;4.950.000,00;Vencedora
Doc. 09026/20;00006/2020;Pregao Presencial;201142;42.840.000,00;2020;364613310001-76;5.510.000,00;Vencedora
Doc. 09032/19;00010/2019;Pregao Presencial;201114;35.225.748,00;2019;62926670001-91;2.520.000,00;Vencedora
Doc. 09040/19;00012/2019;Pregao Presencial;201114;35.225.748,00;2019;31323380001-95;14.600.230,00;Vencedora
Doc. 09040/19;00012/2019;Pregao Presencial;201114;35.225.748,00;2019;242154360001-66;10.516.540,00;Vencedora
Doc. 09040/19;00012/2019;Pregao Presencial;201114;35.225.748,00;2019;318601980001-07;3.142.330,00;Vencedora
Doc. 09061/21;00013/2021;Pregao Presencial;201101;4.486.300,00;2021;175582210001-82;3.600.000,00;Vencedora
Doc. 09069/20;00001/2020;Tomada de Precos;201139;42.822.046,00;2020;34065670001-50;19.281.229,00;Vencedora
Doc. 09069/20;00001/2020;Tomada de Precos;201139;42.822.046,00;2020;234294390001-30;21.056.603,00;Perdedora
Doc. 09076/20;00002/2020;Inexigibilidade;301197;42.822.046,00;2020;172621530001-00;3.600.000,00;Vencedora
Doc. 09091/21;00004/2021;Pregao Presencial;201083;2.874.000,00;2021;127918000002-38;8.880.000,00;Vencedora
Doc. 09091/21;00004/2021;Pregao Presencial;201083;4.486.300,00;2021;334141750001-02;9.000.000,00;Perdedora
Doc. 09117/19;00003/2019;Pregao Presencial;201136;5.340.000,00;2019;242918970001-18;46.229.000,00;Vencedora
Doc. 09118/19;00002/2019;Pregao Presencial;201136;5.340.000,00;2019;242918970001-18;21.246.000,00;Vencedora
Doc. 09119/19;00001/2019;Pregao Presencial;201136;5.340.000,00;2019;26206220001-48;25.000.000,00;Perdedora
Doc. 09119/19;00001/2019;Pregao Presencial;201136;5.340.000,00;2019;107598500001-21;22.250.000,00;Vencedora
Doc. 09119/20;00019/2020;Pregao Presencial;201040;9.758.990,00;2020;23687890001-63;4.072.900,00;Perdedora
Doc. 09119/20;00019/2020;Pregao Presencial;201040;9.758.990,00;2020;279259380001-79;5.030.030,00;Vencedora
Doc. 09136/19;00006/2019;Pregao Presencial;201187;1.599.800,00;2019;92007270001-97;12.000.000,00;Vencedora
Doc. 09138/19;00003/2019;Pregao Presencial;201022;27.572.000,00;2019;175231660001-95;2.620.800,00;Vencedora
Doc. 09138/19;00003/2019;Pregao Presencial;201022;27.572.000,00;2019;276114280001-27;3.326.400,00;Vencedora
Doc. 09138/19;00003/2019;Pregao Presencial;201022;27.572.000,00;2019;294934600001-80;3.528.000,00;Vencedora
Doc. 09138/19;00003/2019;Pregao Presencial;201022;873.516,00;2019;295659700001-16;4.939.200,00;Vencedora
Doc. 09138/19;00003/2019;Pregao Presencial;201022;27.572.000,00;2019;327034250001-53;2.919.000,00;Vencedora
Doc. 09139/19;00004/2019;Pregao Presencial;201022;27.572.000,00;2019;176229660001-63;1.255.800,00;Vencedora
Doc. 09139/19;00004/2019;Pregao Presencial;201022;27.572.000,00;2019;326636340001-10;2.608.200,00;Vencedora
Doc. 09139/19;00004/2019;Pregao Presencial;201022;27.572.000,00;2019;326923420001-06;2.415.000,00;Vencedora
Doc. 09139/19;00004/2019;Pregao Presencial;201022;27.572.000,00;2019;327050680001-62;2.412.900,00;Vencedora
Doc. 09139/19;00004/2019;Pregao Presencial;201022;27.572.000,00;2019;327201770001-59;2.898.000,00;Vencedora
Doc. 09153/20;00001/2020;Tomada de Precos;201083;870.000,00;2020;330914310001-60;43.385.073,00;Vencedora
Doc. 09155/20;00001/2020;Pregao Presencial;601097;870.000,00;2020;320508150001-71;8.632.125,00;Vencedora
Doc. 09155/20;00001/2020;Pregao Presencial;601097;870.000,00;2020;356625060001-40;3.740.740,00;Vencedora
Doc. 09157/20;00009/2020;Pregao Presencial;201103;1.274.951,00;2020;175707570001-13;7.200.000,00;Vencedora
Doc. 09159/20;02002/2020;Tomada de Precos;201123;7.490.000,00;2020;33384400001-41;36.073.105,00;Vencedora
Doc. 09159/20;02002/2020;Tomada de Precos;201123;1.983.900,00;2020;194208450001-64;42.612.158,00;Perdedora
Doc. 09159/20;02002/2020;Tomada de Precos;201123;1.274.951,00;2020;224555630001-07;39.653.003,00;Perdedora
Doc. 09159/20;02002/2020;Tomada de Precos;201123;1.274.951,00;2020;250801660001-96;38.775.351,00;Perdedora
Doc. 09160/20;00010/2020;Pregao Presencial;201103;3.240.000,00;2020;30925700001-47;8.419.640,00;Vencedora
Doc. 09169/20;00008/2020;Pregao Presencial;201112;580.495,00;2020;247475190001-04;39.688.500,00;Perdedora
Doc. 09169/20;00008/2020;Pregao Presencial;201112;580.495,00;2020;302509130001-27;39.195.300,00;Vencedora
Doc. 09174/19;00004/2019;Pregao Presencial;201120;20.503.023,00;2019;49061560001-97;53.257.085,00;Perdedora
Doc. 09174/19;00004/2019;Pregao Presencial;201120;6.239.232,00;2019;286958050001-16;42.760.000,00;Vencedora
Doc. 09175/20;00023/2019;Pregao Presencial;601097;13.200.000,00;2019;269509400001-35;53.814.165,00;Vencedora
Doc. 09177/20;00009/2020;Pregao Presencial;201112;13.200.000,00;2020;247475190001-04;33.399.700,00;Perdedora
Doc. 09177/20;00009/2020;Pregao Presencial;201112;13.200.000,00;2020;302509130001-27;37.256.780,00;Vencedora
Doc. 09181/21;00005/2021;Pregao Presencial;201083;2.874.000,00;2021;198586540001-89;9.600.000,00;Vencedora
Doc. 09183/19;00010/2019;Pregao Presencial;201157;14.551.635,00;2019;27378100001-50;63.622.115,00;Vencedora
Doc. 09183/19;00010/2019;Pregao Presencial;201157;14.551.635,00;2019;156090750001-41;58.005.910,00;Vencedora
Doc. 09183/19;00010/2019;Pregao Presencial;201157;14.551.635,00;2019;283025340001-91;88.318.279,00;Vencedora
Doc. 09216/20;00006/2020;Pregao Presencial;201204;13.200.000,00;2020;103926550001-06;6.000.000,00;Perdedora
Doc. 09216/20;00006/2020;Pregao Presencial;201204;203.121.955,00;2020;110806740001-60;3.500.000,00;Vencedora
Doc. 09222/20;00017/2020;Pregao Presencial;201182;18.326.435,00;2020;49181610001-10;11.182.315,00;Vencedora
Doc. 09222/20;00017/2020;Pregao Presencial;201182;11.991.500,00;2020;213183840001-65;11.999.433,00;Perdedora
Doc. 09222/20;00017/2020;Pregao Presencial;201182;18.326.435,00;2020;223121990001-26;10.799.490,00;Vencedora
Doc. 09222/20;00017/2020;Pregao Presencial;201182;2.900.000,00;2020;268891810001-42;11.994.433,00;Perdedora
Doc. 09222/20;00017/2020;Pregao Presencial;201182;18.326.435,00;2020;320561010001-70;9.000.302,00;Vencedora
Doc. 09223/20;00003/2020;Pregao Presencial;201147;7.300.000,00;2020;142566090001-30;19.150.000,00;Vencedora
Doc. 09225/21;00002/2021;Pregao Presencial;201133;1.800.000,00;2021;9585480002-20;32.400.000,00;Vencedora
Doc. 09228/20;00002/2020;Pregao Presencial;101040;2.880.000,00;2020;46547160001-63;4.215.700,00;Vencedora
Doc. 09228/20;00002/2020;Pregao Presencial;101040;2.880.000,00;2020;76314110001-24;7.572.550,00;Vencedora
Doc. 09230/19;00008/2019;Pregao Presencial;601040;6.086.210,00;2019;611002440001-30;9.900.000,00;Vencedora
Doc. 09232/21;00004/2021;Pregao Presencial;201084;10.507.956,00;2021;271505300001-72;10.350.000,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;24.500.000,00;2019;76267760001-60;137.800,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;15.003.440,00;2019;94780230001-80;2.216.600,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;15.003.440,00;2019;114274070001-16;1.525.280,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;15.003.440,00;2019;127109160001-14;568.500,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;15.003.440,00;2019;144026470001-54;29.400,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;24.500.000,00;2019;177374280001-14;405.000,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;2.520.000,00;2019;200088310001-17;213.426,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;17.498.970,00;2019;210627770001-50;1.659.900,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;17.498.970,00;2019;293128960001-26;1.579.000,00;Vencedora
Doc. 09234/19;00001/2019;Pregao Eletronico;201210;24.500.000,00;2019;954333970001-11;1.020.000,00;Vencedora
Doc. 09236/21;00008/2021;Pregao Presencial;201114;10.507.956,00;2021;114147980001-34;4.400.000,00;Vencedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;10.507.956,00;2021;38923440001-40;15.900.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;28.303.240,00;2021;40341760001-15;15.780.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;10.507.956,00;2021;54105250001-19;21.000.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;659.136,00;2021;70461640001-07;10.020.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;7.534.000,00;2021;103592790001-58;20.700.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;10.928.000,00;2021;115061790001-70;18.000.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;10.507.956,00;2021;115936900001-56;16.020.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;59.179.620,00;2021;144554600001-19;10.740.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;12.000.000,00;2021;153481420001-11;8.940.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;659.136,00;2021;173259740001-48;30.000.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;59.179.620,00;2021;223199120001-63;15.600.000,00;Vencedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;6.025.000,00;2021;307124270001-83;10.140.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;59.179.620,00;2021;322210980001-01;11.100.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;10.507.956,00;2021;333305260001-99;16.700.000,00;Perdedora
Doc. 09247/21;00012/2021;Pregao Presencial;201019;659.136,00;2021;360637220001-32;10.980.000,00;Perdedora
Doc. 09248/20;00011/2020;Pregao Presencial;201019;195.000,00;2020;195330150001-43;7.000.000,00;Vencedora
Doc. 09248/20;00011/2020;Pregao Presencial;201019;398.906.785,00;2020;216363410001-28;6.200.000,00;Perdedora
Doc. 09253/20;00004/2020;Pregao Presencial;101040;3.960.000,00;2020;72278080001-55;1.301.700,00;Vencedora
Doc. 09253/20;00004/2020;Pregao Presencial;101040;3.960.000,00;2020;262903550001-56;1.645.200,00;Vencedora
Doc. 09256/19;00087/2018;Pregao Presencial;601040;15.472.712,00;2019;165019160001-65;1.492.500,00;Vencedora
Doc. 09256/19;00087/2018;Pregao Presencial;601040;5.312.500,00;2019;197525960001-04;1.822.500,00;Perdedora
Doc. 09256/19;00087/2018;Pregao Presencial;601040;2.760.000,00;2019;199189050001-73;1.650.000,00;Perdedora
Doc. 09260/20;00005/2020;Pregao Presencial;101040;26.347.700,00;2020;46547160001-63;1.043.000,00;Vencedora
Doc. 09260/20;00005/2020;Pregao Presencial;101040;26.347.700,00;2020;76314110001-24;3.138.150,00;Vencedora
Doc. 09260/20;00005/2020;Pregao Presencial;101040;26.347.700,00;2020;166939350001-30;1.715.920,00;Vencedora
Doc. 09269/20;00005/2020;Pregao Presencial;201049;62.735.000,00;2020;149868050001-60;4.556.658,00;Perdedora
Doc. 09269/20;00005/2020;Pregao Presencial;201049;800.000,00;2020;207500090001-27;3.110.000,00;Vencedora
Doc. 09271/20;00006/2020;Pregao Presencial;201035;2.534.000,00;2020;28449320001-46;30.856.910,00;Vencedora
Doc. 09271/20;00006/2020;Pregao Presencial;201035;2.534.000,00;2020;43228210001-03;43.802.950,00;Vencedora
Doc. 09271/20;00006/2020;Pregao Presencial;201035;1.690.000,00;2020;79054120001-10;39.536.090,00;Vencedora
Doc. 09279/20;00007/2020;Pregao Presencial;201035;615.911.076,00;2020;81602900001-42;18.922.400,00;Vencedora
Doc. 09279/20;00007/2020;Pregao Presencial;201035;615.911.076,00;2020;297753130001-01;12.852.200,00;Vencedora
Doc. 09279/20;00007/2020;Pregao Presencial;201035;615.911.076,00;2020;701043440001-26;20.480.300,00;Vencedora
Doc. 09280/19;00001/2019;Pregao Presencial;201061;47.924.919,00;2019;23930760001-50;4.215.900,00;Vencedora
Doc. 09280/19;00001/2019;Pregao Presencial;201061;25.153.370,00;2019;48264240001-60;16.017.800,00;Vencedora
Doc. 09280/19;00001/2019;Pregao Presencial;201061;4.500.000,00;2019;195809230001-98;9.975.034,00;Vencedora
Doc. 09280/19;00001/2019;Pregao Presencial;201061;129.896.825,00;2019;299030190001-20;7.419.090,00;Vencedora
Doc. 09290/20;00006/2020;Pregao Presencial;201085;615.911.076,00;2020;193826780001-04;20.600.000,00;Perdedora
Doc. 09290/20;00006/2020;Pregao Presencial;201085;615.911.076,00;2020;199048010001-00;19.816.000,00;Vencedora
Doc. 09295/19;00008/2019;Pregao Presencial;201211;15.856.739,00;2019;32422500001-26;18.330.910,00;Vencedora
Doc. 09295/19;00008/2019;Pregao Presencial;201211;15.856.739,00;2019;88303470001-73;19.850.500,00;Perdedora
Doc. 09295/19;00008/2019;Pregao Presencial;201211;54.717.200,00;2019;701082380001-10;19.927.400,00;Perdedora
Doc. 09303/21;00005/2021;Pregao Presencial;201144;2.040.000,00;2021;203352560001-67;7.800.000,00;Vencedora
Doc. 09303/21;00005/2021;Pregao Presencial;201144;30.492.500,00;2021;219690260001-12;9.240.000,00;Perdedora
Doc. 09303/21;00005/2021;Pregao Presencial;201144;59.179.620,00;2021;383740790001-93;9.000.000,00;Perdedora
Doc. 09316/20;00002/2020;Chamada Publica;201147;1.500.000,00;2020;44082070001-50;600.000,00;Vencedora
Doc. 09316/20;00002/2020;Chamada Publica;201147;615.911.076,00;2020;107371040001-37;1.800.000,00;Vencedora
Doc. 09316/20;00002/2020;Chamada Publica;201147;615.911.076,00;2020;114708070001-04;7.980.000,00;Vencedora
Doc. 09316/20;00002/2020;Chamada Publica;201147;1.195.360,00;2020;185787370001-51;1.500.000,00;Vencedora
Doc. 09316/20;00002/2020;Chamada Publica;201147;615.911.076,00;2020;253123960001-33;350.000,00;Vencedora
Doc. 09316/20;00002/2020;Chamada Publica;201147;615.911.076,00;2020;340859560001-55;2.000.000,00;Vencedora
Doc. 09316/20;00002/2020;Chamada Publica;201147;615.911.076,00;2020;355852300001-44;620.000,00;Vencedora
Doc. 09319/20;00003/2020;Pregao Presencial;201184;13.217.807,00;2020;83214840001-82;12.521.700,00;Vencedora
Doc. 09319/20;00003/2020;Pregao Presencial;201184;13.217.807,00;2020;182961530001-93;18.645.200,00;Vencedora
Doc. 09319/20;00003/2020;Pregao Presencial;201184;13.217.807,00;2020;268891810001-42;20.733.384,00;Vencedora
Doc. 09319/20;00003/2020;Pregao Presencial;201184;490.929,00;2020;330397260001-97;14.110.100,00;Vencedora
Doc. 09325/20;00004/2020;Pregao Presencial;201184;57.157.669,00;2020;46791190001-93;15.388.514,00;Vencedora
Doc. 09325/20;00004/2020;Pregao Presencial;201184;57.157.669,00;2020;72396450001-20;6.276.500,00;Vencedora
Doc. 09325/20;00004/2020;Pregao Presencial;201184;6.000.000,00;2020;83214840001-82;7.896.200,00;Vencedora
Doc. 09325/20;00004/2020;Pregao Presencial;201184;3.150.385,00;2020;268732360001-26;6.694.100,00;Vencedora
Doc. 09325/20;00004/2020;Pregao Presencial;201184;3.150.385,00;2020;268891810001-42;10.207.325,00;Vencedora
Doc. 09325/20;00004/2020;Pregao Presencial;201184;57.157.669,00;2020;310701400001-60;5.352.057,00;Vencedora
Doc. 09325/20;00004/2020;Pregao Presencial;201184;12.594.120,00;2020;330397260001-97;11.963.950,00;Vencedora
Doc. 09334/20;00005/2020;Pregao Presencial;201184;486.500,00;2020;87916590001-15;13.200.000,00;Vencedora
Doc. 09341/21;10002/2021;Pregao Presencial;201148;3.284.964,00;2021;335053070001-01;15.000.000,00;Vencedora
Doc. 09353/19;00010/2019;Pregao Presencial;201214;30.605.185,00;2019;129335290001-47;25.000.000,00;Vencedora
