,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,cast,keywords,director
318,12000000,"['Crime', 'Action', 'Comedy']",http://www.universalstudiosentertainment.com/hot-fuzz/,4638,tt0425112,en,Hot Fuzz,"Top London cop, PC Nicholas Angel is good. Too good.  To stop the rest of his team from looking bad, he is reassigned to the quiet town of Sandford, paired with simple country cop, and everything seems quiet until two actors are found decapitated. It is addressed as an accident, but Angel isn't going to accept that, especially when more and more people turn up dead.",13.535195,2007-02-14,80573774.0,121.0,Released,Big cops. Small town. Moderate violence.,Hot Fuzz,False,7.4,2252.0,"['Simon Pegg', 'Nick Frost', 'Jim Broadbent']","['village', 'arrest', 'police']",Edgar Wright
319,4500000,"['Action', 'Crime', 'Thriller']",http://www.sonyclassics.com/theraid2/,180299,tt2265171,id,The Raid 2: Berandal,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",8.434884,2014-03-27,2627209.0,150.0,Released,It's Not Over Yet,The Raid 2,False,7.6,832.0,"['Iko Uwais', 'Arifin Putra', 'Oka Antara']","['prison', 'undercover', 'fight']",Gareth Evans
320,40000000,"['Adventure', 'Animation', 'Comedy']",http://www.foxsearchlight.com/fantasticmrfox/,10315,tt0432283,en,Fantastic Mr. Fox,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",8.695893,2009-10-23,46471023.0,87.0,Released,Dig the life fantastic!,Fantastic Mr. Fox,False,7.5,1206.0,"['George Clooney', 'Meryl Streep', 'Jason Schwartzman']","['fox', 'tree', 'peasant']",Wes Anderson
321,910000,"['Crime', 'Drama']",,654,tt0047296,en,On the Waterfront,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.",18.211093,1954-06-22,9600000.0,108.0,Released,The Man Lived by the Jungle Law of the Docks!,On the Waterfront,False,8.0,368.0,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb']","['murder', 'suspense', 'union']",Elia Kazan
322,0,"['Fantasy', 'Drama']",,422,tt0056801,it,8½,With 8 ½ Frederico Fellini leaves a self-portrait where dreams and reality are a mix. With help from a most excellent cast and unique scenery this self reflecting film is one of his master works.,6.747516,1963-02-14,0.0,138.0,Released,A picture that goes beyond what men think about - because no man ever thought about it in quite this way!,8½,False,7.9,427.0,"['Marcello Mastroianni', 'Claudia Cardinale', 'Anouk Aimée']","['individual', 'scapegoat', 'adultery']",Federico Fellini
323,2800000,"['Crime', 'Drama', 'Thriller']",http://www.memoriesofmurder.com/,11423,tt0353969,ko,살인의 추억,"1986 Gyunggi Province. The body of a young woman is found brutally raped and murdered. Two months later, a series of rapes and murders commences under similar circumstances. And in a country that had never known such crimes, the dark whispers about a serial murderer grow louder. A special task force is set up in the area, with two local detectives Park Doo-Man and Jo Young-Goo joined by a detective from Seoul who requested to be assigned to the case.",8.511453,2003-04-24,0.0,129.0,Released,The worst of them will stay with you... forever,Memories of Murder,False,7.9,427.0,"['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roe-Ha']","['corruption', 'rape', 'detective']",Bong Joon-ho
324,3500000,"['Action', 'Animation']",,142061,tt2166834,en,"Batman: The Dark Knight Returns, Part 2",Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,12.576611,2013-01-18,0.0,78.0,Released,Justice Returns... Vengeance Returns... Redemption Comes to Gotham.,"Batman: The Dark Knight Returns, Part 2",False,7.9,426.0,"['Peter Weller', 'Ariel Winter', 'David Selby']","['dc comics', 'future', 'joker']",Jay Oliva
325,1400000,['Drama'],,705,tt0042192,en,All About Eve,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",12.06308,1950-11-09,63463.0,138.0,Released,It's all about women... and their men!,All About Eve,False,8.0,367.0,"['Bette Davis', 'Anne Baxter', 'George Sanders']","['jealousy', 'obsession', 'manipulation']",Joseph L. Mankiewicz
326,76000000,"['Drama', 'Action', 'Thriller']",http://www.universalstudiosentertainment.com/children-of-men/,9693,tt0206634,en,Children of Men,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",14.114606,2006-09-22,69959751.0,109.0,Released,The future's a thing of the past.,Children of Men,False,7.4,2120.0,"['Clive Owen', 'Michael Caine', 'Julianne Moore']","['police state', 'hippie', 'rebel']",Alfonso Cuarón
327,1500000,"['Comedy', 'Romance']",,804,tt0046250,en,Roman Holiday,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",11.954806,1953-09-02,12000000.0,119.0,Released,Romance in romantic Rome!,Roman Holiday,False,7.8,502.0,"['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert']","['rome', 'secret identity', 'boat']",William Wyler
328,150000000,"['Action', 'Adventure', 'Science Fiction']",http://www.madmaxmovie.com/,76341,tt1392190,en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",29.36178,2015-05-13,378858340.0,120.0,Released,What a Lovely Day.,Mad Max: Fury Road,False,7.3,9629.0,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']","['future', 'chase', 'post-apocalyptic']",George Miller
329,0,['Drama'],,147,tt0053198,fr,Les Quatre Cents Coups,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",7.268688,1959-05-04,0.0,99.0,Released,Angel faces hell-bent for violence.,The 400 Blows,False,8.0,363.0,"['Jean-Pierre Léaud', 'Claire Maurier', 'Albert Rémy']","['fondling', 'independent film', 'nouvelle vague']",François Truffaut
330,25000000,"['Fantasy', 'Drama', 'Romance']",http://theageofadalinemovie.com,293863,tt1655441,en,The Age of Adaline,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",10.542026,2015-04-16,65663276.0,112.0,Released,Love is timeless.,The Age of Adaline,False,7.4,2052.0,"['Blake Lively', 'Michiel Huisman', 'Harrison Ford']","['san francisco', 'immortality', 'love']",Lee Toland Krieger
331,30000000,"['Fantasy', 'Comedy', 'Romance']",http://www.sonyclassics.com/midnightinparis,59436,tt1605783,en,Midnight in Paris,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,11.43256,2011-05-11,151119219.0,94.0,Released,,Midnight in Paris,False,7.4,2049.0,"['Owen Wilson', 'Rachel McAdams', 'Kurt Fuller']","['paris', 'painter', 'detective']",Woody Allen
332,5000000,['Drama'],,284293,tt3316960,en,Still Alice,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested.",8.823253,2014-12-05,43884652.0,99.0,Released,,Still Alice,False,7.5,1126.0,"['Julianne Moore', 'Alec Baldwin', 'Kristen Stewart']","['mother', 'professor', 'illness']",Richard Glatzer
333,280000000,"['Action', 'Adventure', 'Science Fiction']",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,tt2395427,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",37.37942,2015-04-22,1405403694.0,141.0,Released,A New Age Has Come.,Avengers: Age of Ultron,False,7.3,6908.0,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['marvel comic', 'sequel', 'superhero']",Joss Whedon
334,135000000,"['Western', 'Drama', 'Adventure']",http://www.foxmovies.com/movies/the-revenant,281957,tt1663202,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",23.501228,2015-12-25,532950503.0,156.0,Released,"(n. One who has returned, as if from the dead.)",The Revenant,False,7.3,6558.0,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter']","['father son relationship', 'rape', 'based on novel']",Alejandro González Iñárritu
335,27000000,"['Music', 'Comedy', 'Action']",,525,tt0080455,en,The Blues Brothers,"Jake Blues is just out of jail, and teams up with his brother, Elwood on a 'mission from God' to raise funds for the orphanage in which they grew up. The only thing they can do is do what they do best – play music – so they get their old band together and they're on their way, while getting in a bit of trouble here and there.",10.076901,1980-06-17,115229890.0,133.0,Released,They'll never get caught. They're on a mission from God.,The Blues Brothers,False,7.5,1092.0,"['Dan Aykroyd', 'John Belushi', 'James Brown']","['dancing', 'prison', 'chicago']",John Landis
336,64000000,"['Adventure', 'Animation', 'Fantasy']",http://www.thelittleprincemovie.com/,309809,tt1754656,en,The Little Prince,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",11.376954,2015-07-29,97571250.0,92.0,Released,Growing up isn't the problem... forgetting is.,The Little Prince,False,7.6,771.0,"['Jeff Bridges', 'Rachel McAdams', 'Paul Rudd']","['philosophy', 'utopia', 'airplane']",Mark Osborne
337,0,"['Science Fiction', 'Drama']",,244267,tt2884206,en,I Origins,"I Origins follows a molecular biologist studying the evolution of the human eye.  He finds his work permeating his life after a brief encounter with an exotic young woman who slips away from him.  As his research continues years later with his lab partner, they make a stunning scientific discovery that has far reaching implications and complicates both his scientific and and spiritual beliefs.  Traveling half way around the world, he risks everything he has ever known to validate his theory.",11.901185,2014-07-18,336472.0,106.0,Released,,I Origins,False,7.5,1089.0,"['Michael Pitt', 'Brit Marling', 'Astrid Bergès-Frisbey']","['independent film', 'eyes', 'molecular biologist']",Mike Cahill
338,6900000,"['Animation', 'Adventure', 'Drama']",,16859,tt0097814,ja,魔女の宅急便,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",12.220581,1989-07-29,18172849.0,103.0,Released,"I was feeling blue, but I'm better now.",Kiki's Delivery Service,False,7.6,768.0,"['Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']","['clock tower', 'witch', 'cat']",Hayao Miyazaki
339,0,"['Drama', 'Comedy']",,382591,tt5078204,fr,Demain tout commence,A man without attachments or responsibilities suddenly finds himself with an abandoned baby and leaves for London to try and find the mother. Eight years later after he and his daughter become inseparable Gloria's mother reappears.,17.181564,2016-12-07,1447740.0,118.0,Released,,Two Is a Family,False,7.6,765.0,"['Omar Sy', 'Clémence Poésy', 'Antoine Bertrand']","['london england', 'single parent', 'stuntman']",Hugo Gélin
340,0,['Drama'],,797,tt0060827,sv,Persona,"A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer. Alma eventually confesses her secrets to a seemingly sympathetic Elisabeth and finds that her own personality is being submerged into Elisabeth's persona.",8.862628,1966-10-18,0.0,85.0,Released,,Persona,False,8.0,353.0,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']","['nurse', 'sex', 'confession']",Ingmar Bergman
341,630019,"['Action', 'Comedy', 'Science Fiction']",http://www.kungfury.com/,251516,tt3472226,en,Kung Fury,"During an unfortunate series of events, a friend of Kung Fury is assassinated by the most dangerous kung fu master criminal of all time, Adolf Hitler, a.k.a Kung Führer.  Kung Fury decides to travel back in time to Nazi Germany in order to kill Hitler and end the Nazi empire once and for all.",7.741143,2015-05-22,0.0,31.0,Released,It takes a cop from the future to fight an enemy from the past.,Kung Fury,False,7.6,762.0,"['David Sandberg', 'Jorma Taccone', 'Leopold Nilsson']","['video game', 'martial arts', 'kung fu']",David Sandberg
342,105000000,"['Science Fiction', 'Thriller', 'Drama']",http://gravitymovie.warnerbros.com/,49047,tt1454468,en,Gravity,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",18.50194,2013-09-27,716392705.0,91.0,Released,Don't Let Go,Gravity,False,7.3,5879.0,"['Sandra Bullock', 'George Clooney', 'Ed Harris']","['space mission', 'loss', 'space']",Alfonso Cuarón
343,75000000,"['Thriller', 'Crime']",,75656,tt1670345,en,Now You See Me,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,17.852022,2013-05-29,117698894.0,115.0,Released,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,Now You See Me,False,7.3,5635.0,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']","['paris', 'bank', 'secret']",Louis Leterrier
344,49300000,"['Animation', 'Drama', 'Fantasy']",http://www.kaguyahime-monogatari.jp/,149871,tt2576852,ja,かぐや姫の物語,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her - but ultimately she must confront her fate, the punishment for her crime.",7.566053,2013-11-23,24186232.0,137.0,Released,A princess's crime and punishment,The Tale of the Princess Kaguya,False,8.0,350.0,"['Aki Asakura', 'Kengo Kora', 'Nobuko Miyamoto']","['princess', 'japanese woman', 'based on fairy tale']",Isao Takahata
345,11000000,"['Drama', 'Romance']",http://www2.warnerbros.com/walktoremember/main.html,10229,tt0281358,en,A Walk to Remember,"When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon.",8.054499,2002-01-25,41227069.0,101.0,Released,She didn't belong. She was misunderstood. And she would change him forever.,A Walk to Remember,False,7.5,1057.0,"['Mandy Moore', 'Shane West', 'Peter Coyote']","['based on novel', 'theatre group', 'north carolina']",Adam Shankman
346,150000000,"['Animation', 'Adventure', 'Family']",http://movies.disney.com/frozen,109445,tt2294629,en,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",24.248243,2013-11-27,1274219009.0,102.0,Released,Only the act of true love will thaw a frozen heart.,Frozen,False,7.3,5440.0,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']","['queen', 'musical', 'princess']",Chris Buck
347,40000000,['Drama'],,3558,tt0172493,en,"Girl, Interrupted","Set in the changing world of the late 1960's, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",8.285062,1999-12-21,0.0,127.0,Released,"The crazy thing is, you're not crazy.","Girl, Interrupted",False,7.6,747.0,"['Winona Ryder', 'Angelina Jolie', 'Clea DuVall']","['based on novel', 'suicide attempt', 'puberty']",James Mangold
348,800000,['Drama'],,60243,tt1832382,fa,جدایی نادر از سیمین,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,7.939625,2011-03-15,0.0,123.0,Released,"Ugly truth, sweet lies.",A Separation,False,7.8,474.0,"['Leila Hatami', 'Kimia Hosseini', 'Merila Zarei']","['emigration', 'class', 'money']",Asghar Farhadi
349,0,"['Horror', 'Drama', 'Mystery']",,1933,tt0230600,en,The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",11.046007,2001-08-02,0.0,101.0,Released,"Sooner or later she'll see them, then everything will be different.",The Others,False,7.4,1708.0,"['Nicole Kidman', 'Christopher Eccleston', 'Alakina Mann']","['nanny', 'haunted house', 'channel islands']",Alejandro Amenábar
350,15000000,['Drama'],,306819,tt0810819,en,The Danish Girl,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",11.245661,2015-11-27,64191523.0,120.0,Released,Find the courage to be yourself.,The Danish Girl,False,7.4,1689.0,"['Eddie Redmayne', 'Alicia Vikander', 'Matthias Schoenaerts']","['paris', 'denmark', 'copenhagen']",Tom Hooper
351,2777000,"['Adventure', 'Family', 'Fantasy']",http://thewizardofoz.warnerbros.com/,630,tt0032138,en,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",22.064932,1939-08-15,33754967.0,102.0,Released,"We're off to see the Wizard, the wonderful Wizard of Oz!",The Wizard of Oz,False,7.4,1689.0,"['Judy Garland', 'Frank Morgan', 'Ray Bolger']","['witch', 'adolescence', 'based on novel']",Victor Fleming
352,2700000,"['Drama', 'Romance']",http://www.warnerbros.com/?site=beforesunset#/page=movies&pid=f-57b53b9e/BEFORE_SUNSET&asset=059437/Before_Sunset_-_Trailer_1A&type=video/,80,tt0381681,en,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,7.048957,2004-02-10,15992615.0,80.0,Released,What if you had a second chance with the one that got away?,Before Sunset,False,7.6,734.0,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']","['paris', 'journalist', 'dialogue']",Richard Linklater
353,13000000,"['Drama', 'Thriller']",http://www.foxsearchlight.com/blackswan/,44214,tt0947798,en,Black Swan,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",12.989056,2010-12-02,327803731.0,108.0,Released,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are.",Black Swan,False,7.3,4562.0,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel']","['dancing', 'competition', 'sex']",Darren Aronofsky
354,170000000,"['Science Fiction', 'Action', 'Drama']",http://www.dawnofapes.com/,119450,tt2103281,en,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",75.385211,2014-06-26,710644566.0,130.0,Released,One last chance for peace.,Dawn of the Planet of the Apes,False,7.3,4511.0,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']","['leader', 'colony', 'post-apocalyptic']",Matt Reeves
355,4000000,"['Horror', 'Drama']",http://www.lettherightoneinmovie.com,13310,tt1139797,sv,Låt den rätte komma in,"Set in 1982 in the suburb of Blackeberg, Stockholm, twelve-year-old Oskar is a lonely outsider, bullied at school by his classmates; at home, Oskar dreams of revenge against a trio of bullies. He befriends his twelve-year-old, next-door neighbor Eli, who only appears at night in the snow-covered playground outside their building.",7.274237,2008-01-26,10785801.0,115.0,Released,Eli is 12 years old. She’s been 12 for over 200 years and she just moved in next door.,Let the Right One In,False,7.5,997.0,"['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar']","['female nudity', 'vampire', 'castration']",Tomas Alfredson
356,190000000,['Action'],http://www.furious7.com/,168259,tt2820852,en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,27.275687,2015-04-01,1506249360.0,137.0,Released,Vengeance Hits Home,Furious 7,False,7.3,4253.0,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']","['car race', 'speed', 'revenge']",James Wan
357,60000000,"['Adventure', 'Animation', 'Comedy']",http://www.shrek.com/,808,tt0126029,en,Shrek,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",17.987728,2001-05-16,484409218.0,90.0,Released,The greatest fairy tale never told.,Shrek,False,7.3,4183.0,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['magic', 'liberation', 'lordship']",Andrew Adamson
358,90000000,"['Adventure', 'Fantasy', 'Action']",,18,tt0119116,en,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",24.30526,1997-05-07,263920180.0,126.0,Released,There is no future without it.,The Fifth Element,False,7.3,3962.0,"['Bruce Willis', 'Gary Oldman', 'Ian Holm']","['clone', 'taxi', 'cyborg']",Luc Besson
359,19000000,"['Adventure', 'Comedy', 'Family']",,9340,tt0089218,en,The Goonies,"A young teenager named Mikey Walsh finds an old treasure map in his father's attic. Hoping to save their homes from demolition, Mikey and his friends Data Wang, Chunk Cohen, and Mouth Devereaux run off on a big quest to find the secret stash of Pirate One-Eyed Willie.",14.280703,1985-06-06,61503218.0,114.0,Released,"The pirates map, The villainous crooks, The underground caverns, The booby traps, The skeletons, The monster, The lost treasure, and the magic that is... THE GOONIES.",The Goonies,False,7.4,1563.0,"['Sean Astin', 'Josh Brolin', 'Jeff Cohen']","['gunfight', 'urination', 'hidden']",Richard Donner
360,150000000,"['Adventure', 'Action', 'Thriller']",http://www.mgm.com/#/our-titles/233/Casino-Royale-(2006),36557,tt0381061,en,Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",23.065078,2006-11-14,599045960.0,144.0,Released,Everyone has a past. Every legend has a beginning.,Casino Royale,False,7.3,3930.0,"['Daniel Craig', 'Eva Green', 'Mads Mikkelsen']","['italy', 'poker', 'casino']",Martin Campbell
361,90000000,"['Animation', 'Comedy', 'Family']",http://toystory.disney.com/toy-story-2,863,tt0120363,en,Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",17.547693,1999-10-30,497366869.0,92.0,Released,The toys are back!,Toy Story 2,False,7.3,3914.0,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']","['museum', 'prosecution', 'identity crisis']",John Lasseter
362,0,"['Drama', 'Romance', 'Thriller']",http://adoptfilms.com/victoria/,320007,tt4226388,de,Victoria,A young Spanish woman who has newly moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,8.247275,2015-06-11,3191998.0,138.0,Released,One City. One Night. One Take.,Victoria,False,7.9,388.0,"['Laia Costa', 'Frederick Lau', 'Franz Rogowski']","['berlin', 'long take', 'bullet wound']",Sebastian Schipper
363,3000000,"['Drama', 'History', 'War']",,826,tt0050212,en,The Bridge on the River Kwai,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",8.851646,1957-10-02,27200000.0,161.0,Released,It spans a whole new world of entertainment!,The Bridge on the River Kwai,False,7.7,554.0,"['William Holden', 'Alec Guinness', 'Jack Hawkins']","['japan', 'resistance', 'japanese']",David Lean
364,105000000,"['Drama', 'Romance']",,64682,tt1343092,en,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",17.598936,2013-05-10,351040419.0,143.0,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,False,7.3,3885.0,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']","['based on novel', 'infidelity', 'obsession']",Baz Luhrmann
365,40000000,"['Action', 'Drama', 'Thriller']",http://www.lonesurvivorfilm.com/,193756,tt1091191,en,Lone Survivor,"Based on the failed June 28, 2005 mission ""Operation Red Wing."" Four members of SEAL Team 10, were tasked with the mission to capture or kill notorious Taliban leader, Ahmad Shah. Only one member of the team survived.",10.855502,2013-12-24,149295601.0,121.0,Released,Based on True Acts of Courage,Lone Survivor,False,7.4,1549.0,"['Mark Wahlberg', 'Taylor Kitsch', 'Emile Hirsch']","['war', 'survival', 'navy seal']",Peter Berg
366,0,['Drama'],http://www.thebookthief.com/,203833,tt0816442,en,The Book Thief,"While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refuge is being sheltered by her adoptive parents.",16.373622,2013-11-08,76586316.0,131.0,Released,Courage beyond words.,The Book Thief,False,7.4,1528.0,"['Geoffrey Rush', 'Sophie Nélisse', 'Emily Watson']","['world war ii', 'book', 'nazi germany']",Brian Percival
367,100000000,"['Drama', 'Crime']",http://www.americangangster.net/,4982,tt0765429,en,American Gangster,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",9.644542,2007-11-02,266465037.0,157.0,Released,There are two sides to the American dream,American Gangster,False,7.4,1527.0,"['Denzel Washington', 'Russell Crowe', 'Chiwetel Ejiofor']","['underdog', 'black people', 'drug traffic']",Ridley Scott
368,5800000,"['Science Fiction', 'Adventure', 'Drama']",http://www.foxmovies.com/movies/planet-of-the-apes,871,tt0063442,en,Planet of the Apes,"An  U.S. Spaceship lands on a desolate planet, stranding astronaut Taylor in a world dominated by apes, 2000 years into the future, who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.",17.784978,1968-02-07,33395426.0,112.0,Released,"Somewhere in the Universe, there must be something better than man!",Planet of the Apes,False,7.5,958.0,"['Charlton Heston', 'Roddy McDowall', 'Kim Hunter']","['human evolution', 'gorilla', 'bondage']",Franklin J. Schaffner
